ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
2664,Budibud,Papua New Guinea,PNG,btp,Vulnerable
2278,Budong-Budong,Indonesia,IDN,bdx,Critically endangered
1045,Budukh,Azerbaijan,AZE,bdk,Severely endangered
66,Buga,Sudan,SDN,myj,Critically endangered
1900,BuglÃ©,Panama,PAN,,Definitely endangered
1678,Bukharic,Uzbekistan,UZB,bhh,Definitely endangered
2665,Bukiyip,Papua New Guinea,PNG,ape,Vulnerable
2666,Bulgebi,Papua New Guinea,PNG,bmp,Definitely endangered
2657,Bumbita Arapesh,Papua New Guinea,PNG,aon,Vulnerable
1245,Bumthang,Bhutan,BTN,kjz,Vulnerable
1181,Bunan,India,IND,bfu,Definitely endangered
171,Bundjalung,Australia,AUS,bdy,Severely endangered
37,Bung,Cameroon,CMR,bqd,Critically endangered
2396,Bungee,Canada,CAN,,Critically endangered
172,Bunuba,Australia,AUS,bck,Severely endangered
2029,Bunun,China,CHN,bnn,Vulnerable
2523,Burate,Indonesia,IDN,bti,Severely endangered
1350,Burgenland Croatian,"Austria, Hungary, Slovakia","AUT, HUN, SVK","bos, hrv, srp",Definitely endangered
1521,Burgundian,France,FRA,fra,Severely endangered
91,Burji,Kenya,KEN,bji,Vulnerable
119,Burunge,United Republic of Tanzania,TZA,bds,Vulnerable
1599,Burushaski,Pakistan,PAK,bsk,Vulnerable
507,Buryat (Cis-Baikal),Russian Federation,RUS,"bxm, bxr, bxu",Severely endangered
458,Buryat (Manchuria),"China, Mongolia","CHN, MNG","bxm, bxr, bxu",Definitely endangered
469,Buryat (Trans-Baikal),Russian Federation,RUS,"bxm, bxr, bxu",Definitely endangered
2615,Busoa,Indonesia,IDN,bup,Vulnerable
1676,Bussa,Ethiopia,ETH,dox,Vulnerable
1400,Busuu,Cameroon,CMR,bju,Critically endangered
2416,Buyang,China,CHN,"yzg, yha, yin",Severely endangered
1744,Bwisi,"Congo, Gabon","COG, GAB",bwz,Definitely endangered
433,Byangsi,"India, Nepal","IND, NPL",bee,Definitely endangered
2490,Caac,New Caledonia (France),NCL,msq,Vulnerable
1875,CabÃ©car,Costa Rica,CRI,,Vulnerable
2016,CabiyarÃ­,Colombia,COL,cbb,Critically endangered
1894,Cacaopera,Nicaragua,NIC,ccr,Extinct
1877,Cacua,Colombia,COL,cbv,Severely endangered
894,Caddo,United States of America,USA,cad,Critically endangered
867,Cahuilla,United States of America,USA,chl,Critically endangered
577,Callahuaya,Bolivia (Plurinational State of),BOL,caw,Critically endangered
2213,Camarines Norte Agta,Philippines,PHL,abd,Severely endangered
36,Cambap,Cameroon,CMR,twn,Critically endangered
337,Campidanese,Italy,ITA,sro,Definitely endangered
578,CamsÃ¡,Colombia,COL,kbh,Definitely endangered
579,Candoshi,Peru,PER,cbu,Definitely endangered
580,Canichana,Bolivia (Plurinational State of),BOL,caz,Extinct
746,Capanahua,Peru,PER,kaq,Severely endangered
135,Cape Khoekhoe,South Africa,ZAF,naq,Extinct
2185,Cappadocian Greek (Greece),Greece,GRC,cpg,Critically endangered
1338,Cappadocian Greek (Turkey),Turkey,TUR,cpg,Extinct
2058,Caquinte Campa,Peru,PER,cot,Definitely endangered
2038,Carabayo,Colombia,COL,cby,Extinct
612,Carapana (Brazil),Brazil,BRA,cbc,Severely endangered
2003,Carapana (Colombia),Colombia,COL,cbc,Definitely endangered
289,Carijona,Colombia,COL,cbd,Critically endangered
1241,Carrier,Canada,CAN,"bcr, caf, crx",Severely endangered
747,Cashibo-Cacataibo,Peru,PER,cbr,Definitely endangered
1631,Cashinahua (Brazil),Brazil,BRA,cbs,Vulnerable
749,Cashinahua (Peru),Peru,PER,cbs,Definitely endangered
890,Catawba,United States of America,USA,chc,Extinct
1659,CavineÃ±a,Bolivia (Plurinational State of),BOL,cav,Definitely endangered
804,Cayuga (Canada),Canada,CAN,cay,Critically endangered
